Gene name	Human gene name	Human homology type	Human gene stable ID	Human orthology confidence [0 low, 1 high]	%id. target Human gene identical to query gene
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	38.67
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	35.9606
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	40.3941
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.2069
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	40.1478
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.4532
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.6404
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.1921
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	35.468
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	40.3941
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	38.9163
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	36.2069
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	39.4089
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6847
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	40.1478
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	40.3941
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.3941
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.6552
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	39.1626
					
	SP110	ortholog_one2many	ENSG00000135899	0	61.157
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	38.1616
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	33.9833
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	33.9833
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	38.9972
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	35.6546
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	40.39
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	35.6546
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	40.1114
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	35.6546
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1114
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	35.9331
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	34.8189
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.8329
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	36.7688
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	33.4262
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	39.2758
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	35.9331
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	40.1114
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.8329
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1114
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.5543
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	37.0474
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	42.6195
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.6299
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.2141
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.9168
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.0062
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.7983
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.7983
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.422
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	36.3825
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.7089
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.7879
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.0062
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6299
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.7089
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	40.3651
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.1197
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	36.9168
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.3509
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	35.6998
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9594
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.1055
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.5538
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	35.9026
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	39.9594
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	36.3083
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	35.0913
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.5538
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	39.7566
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	36.9168
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.7424
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	36.9168
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.5538
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.5538
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	39.9594
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.3509
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	39.9594
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	40.625
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.5
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.0833
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	38.75
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	35.8333
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.375
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.0417
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	38.9583
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.25
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	36.0417
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	35.625
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.1667
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	39.5833
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.2917
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.125
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	36.6667
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	38.9583
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.1667
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	39.7917
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	38.75
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	39.7917
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	43.2432
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	39.0663
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	39.0663
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	40.7862
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	38.0835
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	41.5233
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	38.0835
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	41.5233
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	38.0835
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	41.769
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	40.7862
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	37.5921
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	41.2776
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	42.2604
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	38.5749
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	40.5405
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	41.0319
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	41.5233
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	41.2776
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	41.769
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	40.7862
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	42.5061
					
					
	SP110	ortholog_one2many	ENSG00000135899	0	61.157
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	43.4511
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	38.8773
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	38.4615
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	40.5405
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.422
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	41.3721
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	37.6299
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	41.1642
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	37.6299
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	41.7879
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	38.2536
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	37.2141
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	40.9563
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	42.2037
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	38.2536
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	40.1247
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	39.0852
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	41.1642
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	40.9563
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	41.7879
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	40.7484
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	42.2037
					
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	42.6195
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.6299
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.2141
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.9168
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.0062
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.7983
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.7983
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.422
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	36.3825
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.7089
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.7879
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.0062
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6299
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.7089
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	44.2446
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	41.7266
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	42.446
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	45.6835
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	41.3669
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	45.3237
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	42.0863
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	45.3237
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	42.0863
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	46.4029
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	40.2878
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	41.0072
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	44.964
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	43.8849
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	41.7266
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	44.2446
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	40.2878
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	45.3237
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	44.964
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	46.4029
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	44.6043
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	44.2446
					
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	42.6195
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.6299
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.2141
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.9168
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.0062
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.7983
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.7983
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.422
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	36.3825
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.7089
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.7879
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.0062
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6299
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.7089
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
					
	SP110	ortholog_one2many	ENSG00000135899	0	61.9835
	SP110	ortholog_one2many	ENSG00000135899	0	61.9835
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	46.4029
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	43.1655
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	43.8849
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	47.8417
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	43.1655
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	46.7626
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	43.8849
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	47.1223
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	43.8849
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	47.8417
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	42.446
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	42.8058
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	46.4029
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	44.964
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	42.8058
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	45.6835
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	42.446
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	47.1223
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	46.4029
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	47.8417
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	46.0432
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	45.3237
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	40.8333
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.5
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.0833
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	38.9583
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	36.0417
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.5833
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.25
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.1667
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.4583
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.2083
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	36.25
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	35.625
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.375
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	39.7917
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.2917
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.3333
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	36.875
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.1667
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.375
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	38.9583
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	40
					
Gm16367	PRAMEF12	ortholog_many2many	ENSG00000116726	0	42.6195
Gm16367	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.6299
Gm16367	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.2141
Gm16367	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.9168
Gm16367	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.0062
Gm16367	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
Gm16367	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.7983
Gm16367	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
Gm16367	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.7983
Gm16367	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
Gm16367	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.422
Gm16367	PRAMEF2	ortholog_many2many	ENSG00000120952	0	36.3825
Gm16367	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.7089
Gm16367	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.7879
Gm16367	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.0062
Gm16367	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
Gm16367	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6299
Gm16367	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
Gm16367	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.7089
Gm16367	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
Gm16367	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
Gm16367	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	41.7879
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	38.0457
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	38.2536
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.7089
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.2141
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	37.6299
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	37.2141
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	38.4615
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	37.0062
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.2931
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.58
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.6299
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	38.8773
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.2931
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.3326
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
	SP100	ortholog_one2many	ENSG00000067066	0	51.6393
					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	40.5405
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.2141
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.2141
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.501
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	36.1746
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.7089
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.5904
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.2931
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.3825
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	36.1746
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	35.5509
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.2931
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	39.501
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	37.0062
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.4615
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	36.7983
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.2931
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.2931
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.0852
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	39.7089
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	38.1616
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	33.7047
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	33.7047
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	38.9972
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	35.376
